,Last Name,First Name,Email,Grade
0,Sampson,Stephanie,stephanie.sampson@bayer.edu,6
1,Dunn,Amy,amy.dunn@bayer.edu,6
2,Edwards,Timothy,timothy.edwards@bayer.edu,6
3,Reilly,Brandy,brandy.reilly@bayer.edu,6
4,Garcia,Desiree,desiree.garcia@bayer.edu,6
5,Bates,Nathan,nathan.bates@bayer.edu,6
6,Miller,Jorge,jorge.miller@bayer.edu,6
7,Graham,Benjamin,benjamin.graham@bayer.edu,6
8,Nguyen,Cindy,cindy.nguyen@bayer.edu,6
9,Boyd,Victoria,victoria.boyd@bayer.edu,6
10,Walsh,Jill,jill.walsh@bayer.edu,6
11,Smith,Andrea,andrea.smith@bayer.edu,7
12,Rush,Oscar,oscar.rush@bayer.edu,7
13,Good,Sherry,sherry.good@bayer.edu,7
14,Dennis,Rachel,rachel.dennis@bayer.edu,7
15,Miller,Stephen,stephen.miller@bayer.edu,7
16,Petersen,Kristin,kristin.petersen@bayer.edu,7
17,Payne,Douglas,douglas.payne@bayer.edu,7
18,Smith,Matthew,matthew.smith@bayer.edu,7
19,Beck,David,david.beck@bayer.edu,7
20,Foster,Tommy,tommy.foster@bayer.edu,7
21,Flower,John,john.g.2.flower@bayer.edu,8
22,Friedman,Linda,linda.friedman@bayer.edu,8
23,Martin,Ashley,ashley.martin@bayer.edu,8
24,Smith,Crystal,crystal.smith@bayer.edu,8
25,Price,Ricardo,ricardo.price@bayer.edu,8
26,Bryan,Bradley,bradley.bryan@bayer.edu,8
27,Reyes,Carol,carol.reyes@bayer.edu,8
28,Underwood,James,james.underwood@bayer.edu,8
29,Odom,John,john.odom@bayer.edu,8
30,Vasquez,Sara,sara.vasquez@bayer.edu,8
31,Dudley,Emily,emily.dudley@bayer.edu,8
32,Evans,Patricia,patricia.evans@bayer.edu,8
33,Wilkerson,Levi,levi.wilkerson@bayer.edu,8
34,Roberts,Steven,steven.roberts@bayer.edu,8
35,Terry,Amy,amy.terry@bayer.edu,9
36,Wolf,Courtney,courtney.wolf@bayer.edu,9
37,Bennett,Richard,richard.bennett@bayer.edu,9
38,Delgado,Desiree,desiree.delgado@bayer.edu,9
39,Baldwin,Lucas,lucas.baldwin@bayer.edu,9
40,Cervantes,Scott,scott.cervantes@bayer.edu,9
41,Sanders,Beth,beth.sanders@bayer.edu,9
42,Curry,Alec,alec.curry@bayer.edu,9
43,Johnson,Paul,paul.johnson@bayer.edu,9
44,Bailey,Belinda,belinda.bailey@bayer.edu,9
45,Edwards,Nicole,nicole.edwards@bayer.edu,9
46,Brown,Kelsey,kelsey.brown@bayer.edu,9
47,James,Margaret,margaret.james@bayer.edu,9
48,Walls,Joyce,joyce.walls@bayer.edu,9
49,Anderson,Daisy,daisy.anderson@bayer.edu,10
50,Patterson,Nicole,nicole.patterson@bayer.edu,10
51,Washington,Travis,travis.washington@bayer.edu,10
52,Glover,Heidi,heidi.glover@bayer.edu,10
53,Daniel,William,william.daniel@bayer.edu,10
