,Last Name,First Name,Email,Grade
0,Dennis,Rachel,rachel.dennis@bayer.edu,11
1,Wolf,Courtney,courtney.wolf@bayer.edu,9
2,Lester,Aaron,aaron.lester@bayer.edu,8
3,Martin,Ashley,ashley.martin@bayer.edu,11
4,Garza,Jessica,jessica.garza@bayer.edu,10
5,Edwards,Timothy,timothy.edwards@bayer.edu,7
6,Lambert,Malaika,malaika.lambert@bayer.edu,6
7,Foster,Ashlee,ashlee.foster@bayer.edu,12
8,Warren,Tamara,tamara.warren@bayer.edu,11
9,Washington,Travis,travis.washington@bayer.edu,8
10,Walsh,Jill,jill.walsh@bayer.edu,4
11,Perez,Jeffrey,jeffrey.perez@bayer.edu,9
12,Ortega,Tiffany,tiffany.ortega@bayer.edu,12
13,Adams,Amy,amy.adams@bayer.edu,10
14,Harris,John,john.harris@bayer.edu,12
15,Guzman,Cynthia,cynthia.guzman@bayer.edu,7
16,Foster,Tommy,tommy.foster@bayer.edu,9
17,Flores,Russell,russell.flores@bayer.edu,12
18,Roberts,Steven,steven.roberts@bayer.edu,8
19,White,Amy,amy.white@bayer.edu,4
20,Flores,Brandon,brandon.flores@bayer.edu,7
21,Patterson,Nicole,nicole.patterson@bayer.edu,10
22,Daniels,Amber,amber.daniels@bayer.edu,6
23,Elliott,Richard,richard.elliott@bayer.edu,12
24,Sampson,Stephanie,stephanie.sampson@bayer.edu,4
25,Reyes,Bailey,bailey.reyes@bayer.edu,7
26,Leon,Tammy,tammy.leon@bayer.edu,4
27,Campbell,Charles,charles.campbell@bayer.edu,8
28,Jones,Michele,michele.jones@bayer.edu,6
29,Warren,Angela,angela.warren@bayer.edu,10
30,Rodriguez,John,john.rodriguez@bayer.edu,7
31,Friedman,Linda,linda.friedman@bayer.edu,8
32,Davidson,Luke,luke.davidson@bayer.edu,5
33,Price,Ricardo,ricardo.price@bayer.edu,12
34,Woodard,John,john.woodard@bayer.edu,8
35,Reid,Laura,laura.reid@bayer.edu,12
36,Dennis,Cameron,cameron.dennis@bayer.edu,4
37,Dunn,Amy,amy.dunn@bayer.edu,6
38,Miller,Anthony,anthony.miller@bayer.edu,12
39,Mccall,Kimberly,kimberly.mccall@bayer.edu,4
40,Allen,Christina,christina.allen@bayer.edu,8
41,Sparks,Leslie,leslie.sparks@bayer.edu,8
42,Miller,Stephen,stephen.miller@bayer.edu,4
43,Williams,Kimberly,kimberly.williams@bayer.edu,9
44,Beck,David,david.beck@bayer.edu,7
45,Smith,Kerry,kerry.smith@bayer.edu,5
46,Sanders,Beth,beth.sanders@bayer.edu,9
47,Bryan,Bradley,bradley.bryan@bayer.edu,8
48,Reyes,Jason,jason.reyes@bayer.edu,4
49,Rogers,Sherry,sherry.rogers@bayer.edu,11
50,Lee,Danielle,danielle.lee@bayer.edu,7
51,Cooper,Adam,adam.cooper@bayer.edu,12
52,Anderson,Daisy,daisy.anderson@bayer.edu,7
53,Simpson,Felicia,felicia.simpson@bayer.edu,12
54,Brown,Kelsey,kelsey.brown@bayer.edu,4
55,Boyd,Victoria,victoria.boyd@bayer.edu,8
56,Bailey,Belinda,belinda.bailey@bayer.edu,4
57,Miranda,Brett,brett.miranda@bayer.edu,8
58,Parker,Timothy,timothy.parker@bayer.edu,10
59,Walls,Joyce,joyce.walls@bayer.edu,12
60,Marshall,Shawn,shawn.marshall@bayer.edu,6
61,Edwards,Nicole,nicole.edwards@bayer.edu,10
62,Patrick,Mark,mark.patrick@bayer.edu,4
63,Clark,Jill,jill.clark@bayer.edu,4
64,Young,Joseph,joseph.young@bayer.edu,10
65,Reyes,Carol,carol.reyes@bayer.edu,6
66,Ramirez,Timothy,timothy.ramirez@bayer.edu,4
67,King,Paige,paige.king@bayer.edu,9
68,Johnson,Paul,paul.johnson@bayer.edu,10
69,Nguyen,Cindy,cindy.nguyen@bayer.edu,10
70,Poole,Melissa,melissa.poole@bayer.edu,5
71,Thomas,Sandra,sandra.thomas@bayer.edu,4
72,Hunt,Brett,brett.hunt@bayer.edu,12
73,Johnson,Jamie,jamie.johnson@bayer.edu,6
74,Rush,Oscar,oscar.rush@bayer.edu,5
75,Bates,Nathan,nathan.bates@bayer.edu,10
76,Gonzalez,Matthew,matthew.gonzalez@bayer.edu,12
77,Terry,Amy,amy.terry@bayer.edu,7
78,Miller,Jorge,jorge.miller@bayer.edu,11
79,Bauer,John,john.bauer@bayer.edu,8
80,Houston,Emily,emily.houston@bayer.edu,11
81,Delgado,Desiree,desiree.delgado@bayer.edu,4
82,Greer,April,april.greer@bayer.edu,12
83,Anderson,Lauren,lauren.anderson@bayer.edu,6
84,Smith,Crystal,crystal.smith@bayer.edu,5
85,Taylor,Michael,michael.taylor@bayer.edu,5
86,Holt,Crystal,crystal.holt@bayer.edu,9
87,Thomas,Brandon,brandon.thomas@bayer.edu,4
88,Baldwin,Lucas,lucas.baldwin@bayer.edu,11
89,Carter,Lorraine,lorraine.carter@bayer.edu,10
90,Duffy,Erin,erin.duffy@bayer.edu,10
91,Raymond,Troy,troy.raymond@bayer.edu,5
92,Bennett,Richard,richard.bennett@bayer.edu,10
93,Powers,Brooke,brooke.powers@bayer.edu,8
94,Hart,Colleen,colleen.hart@bayer.edu,7
95,Johnston,Robert,robert.johnston@bayer.edu,5
96,Myers,Brian,brian.myers@bayer.edu,7
97,Terry,Thomas,thomas.terry@bayer.edu,9
98,Daniel,William,william.daniel@bayer.edu,5
99,Johnson,Dylan,dylan.johnson@bayer.edu,10
100,Vasquez,Sara,sara.vasquez@bayer.edu,5
101,Gordon,Lori,lori.gordon@bayer.edu,7
102,Flower,John,john.g.2.flower@bayer.edu,5
103,Curry,Alec,alec.curry@bayer.edu,11
104,Wilkerson,Levi,levi.wilkerson@bayer.edu,12
105,Pena,Jonathan,jonathan.pena@bayer.edu,5
106,Douglas,Robert,robert.douglas@bayer.edu,8
107,James,Margaret,margaret.james@bayer.edu,11
108,Dunlap,Angela,angela.dunlap@bayer.edu,6
109,Jones,Sarah,sarah.jones@bayer.edu,12
110,Scott,Michelle,michelle.scott@bayer.edu,7
111,Mann,Nicole,nicole.mann@bayer.edu,9
112,Graham,Benjamin,benjamin.graham@bayer.edu,7
113,Glover,Heidi,heidi.glover@bayer.edu,9
114,Petersen,Kristin,kristin.petersen@bayer.edu,5
115,Smith,Matthew,matthew.smith@bayer.edu,8
116,Smith,Andrea,andrea.smith@bayer.edu,12
117,Weber,Samuel,samuel.weber@bayer.edu,6
118,Joyce,Traci,traci.joyce@bayer.edu,4
119,Hernandez,Taylor,taylor.hernandez@bayer.edu,9
120,Nguyen,Donna,donna.nguyen@bayer.edu,4
121,Schwartz,Billy,billy.schwartz@bayer.edu,9
122,Moore,Kimberly,kimberly.moore@bayer.edu,4
123,Brock,Lauren,lauren.brock@bayer.edu,7
124,Dudley,Emily,emily.dudley@bayer.edu,9
125,Johnson,Stacy,stacy.johnson@bayer.edu,7
126,Stevens,Marcia,marcia.stevens@bayer.edu,12
127,Barrera,Woody,woody.barrera_jr@bayer.edu,10
128,Webb,Heather,heather.webb@bayer.edu,4
129,Saunders,Richard,richard.saunders@bayer.edu,12
130,Rhodes,Kimberly,kimberly.rhodes@bayer.edu,6
131,Evans,Patricia,patricia.evans@bayer.edu,4
132,Garcia,Desiree,desiree.garcia@bayer.edu,6
133,Jones,Daniel,daniel.jones@bayer.edu,10
134,Odom,John,john.odom@bayer.edu,6
135,Underwood,James,james.underwood@bayer.edu,9
136,Benton,Michael,michael.benton@bayer.edu,4
137,Lopez,Mark,mark.lopez@bayer.edu,9
138,Watkins,Carol,carol.watkins@bayer.edu,5
139,Faulkner,Katelyn,katelyn.faulkner@bayer.edu,6
140,Good,Sherry,sherry.good@bayer.edu,9
141,Rice,Rhonda,rhonda.rice@bayer.edu,9
142,Smith,Samantha,samantha.smith@bayer.edu,6
143,Watson,Holly,holly.watson@bayer.edu,5
144,Rodriguez,Alexander,alexander.rodriguez@bayer.edu,7
145,Reilly,Brandy,brandy.reilly@bayer.edu,10
146,Payne,Douglas,douglas.payne@bayer.edu,5
147,Johnson,Tara,tara.johnson@bayer.edu,12
148,Lee,Michelle,michelle.lee@bayer.edu,10
149,Cervantes,Scott,scott.cervantes@bayer.edu,9
