,Last Name,First Name,Email,Grade
0,Young,Joseph,joseph.young@bayer.edu,14
1,Woodard,John,john.woodard@bayer.edu,14
2,Wolf,Courtney,courtney.wolf@bayer.edu,15
3,Williams,Kimberly,kimberly.williams@bayer.edu,6
4,Wilkerson,Levi,levi.wilkerson@bayer.edu,13
5,White,Amy,amy.white@bayer.edu,14
6,Weber,Samuel,samuel.weber@bayer.edu,12
7,Webb,Heather,heather.webb@bayer.edu,11
8,Watson,Holly,holly.watson@bayer.edu,12
9,Watkins,Carol,carol.watkins@bayer.edu,6
10,Washington,Travis,travis.washington@bayer.edu,13
11,Warren,Tamara,tamara.warren@bayer.edu,14
12,Warren,Angela,angela.warren@bayer.edu,14
13,Walsh,Jill,jill.walsh@bayer.edu,13
14,Walls,Joyce,joyce.walls@bayer.edu,6
15,Vasquez,Sara,sara.vasquez@bayer.edu,7
16,Underwood,James,james.underwood@bayer.edu,13
17,Thomas,Sandra,sandra.thomas@bayer.edu,10
18,Thomas,Brandon,brandon.thomas@bayer.edu,10
19,Terry,Amy,amy.terry@bayer.edu,12
20,Terry,Thomas,thomas.terry@bayer.edu,14
21,Taylor,Michael,michael.taylor@bayer.edu,15
22,Stevens,Marcia,marcia.stevens@bayer.edu,15
23,Sparks,Leslie,leslie.sparks@bayer.edu,9
24,Smith,Samantha,samantha.smith@bayer.edu,7
25,Smith,Kerry,kerry.smith@bayer.edu,13
26,Smith,Matthew,matthew.smith@bayer.edu,14
27,Smith,Crystal,crystal.smith@bayer.edu,14
28,Smith,Andrea,andrea.smith@bayer.edu,10
29,Simpson,Felicia,felicia.simpson@bayer.edu,7
30,Scott,Michelle,michelle.scott@bayer.edu,15
31,Schwartz,Billy,billy.schwartz@bayer.edu,12
32,Saunders,Richard,richard.saunders@bayer.edu,8
33,Sanders,Beth,beth.sanders@bayer.edu,12
34,Sampson,Stephanie,stephanie.sampson@bayer.edu,10
35,Rush,Oscar,oscar.rush@bayer.edu,14
36,Rogers,Sherry,sherry.rogers@bayer.edu,12
37,Rodriguez,Alexander,alexander.rodriguez@bayer.edu,13
38,Rodriguez,John,john.rodriguez@bayer.edu,12
39,Roberts,Steven,steven.roberts@bayer.edu,14
40,Rice,Rhonda,rhonda.rice@bayer.edu,9
41,Rhodes,Kimberly,kimberly.rhodes@bayer.edu,13
42,Reyes,Jason,jason.reyes@bayer.edu,13
43,Reyes,Bailey,bailey.reyes@bayer.edu,15
44,Reyes,Carol,carol.reyes@bayer.edu,15
45,Reilly,Brandy,brandy.reilly@bayer.edu,13
46,Reid,Laura,laura.reid@bayer.edu,13
47,Raymond,Troy,troy.raymond@bayer.edu,7
48,Ramirez,Timothy,timothy.ramirez@bayer.edu,8
49,Price,Ricardo,ricardo.price@bayer.edu,12
50,Powers,Brooke,brooke.powers@bayer.edu,10
51,Poole,Melissa,melissa.poole@bayer.edu,7
52,Petersen,Kristin,kristin.petersen@bayer.edu,8
53,Perez,Jeffrey,jeffrey.perez@bayer.edu,7
54,Pena,Jonathan,jonathan.pena@bayer.edu,8
55,Payne,Douglas,douglas.payne@bayer.edu,7
56,Patterson,Nicole,nicole.patterson@bayer.edu,14
57,Patrick,Mark,mark.patrick@bayer.edu,11
58,Parker,Timothy,timothy.parker@bayer.edu,14
59,Ortega,Tiffany,tiffany.ortega@bayer.edu,8
60,Odom,John,john.odom@bayer.edu,15
61,Nguyen,Cindy,cindy.nguyen@bayer.edu,10
62,Nguyen,Donna,donna.nguyen@bayer.edu,12
63,Myers,Brian,brian.myers@bayer.edu,10
64,Moore,Kimberly,kimberly.moore@bayer.edu,14
65,Miranda,Brett,brett.miranda@bayer.edu,9
66,Miller,Anthony,anthony.miller@bayer.edu,8
67,Miller,Jorge,jorge.miller@bayer.edu,10
68,Miller,Stephen,stephen.miller@bayer.edu,10
69,Mccall,Kimberly,kimberly.mccall@bayer.edu,15
70,Martin,Ashley,ashley.martin@bayer.edu,7
71,Marshall,Shawn,shawn.marshall@bayer.edu,9
72,Mann,Nicole,nicole.mann@bayer.edu,8
73,Lopez,Mark,mark.lopez@bayer.edu,15
74,Lester,Aaron,aaron.lester@bayer.edu,9
75,Leon,Tammy,tammy.leon@bayer.edu,14
76,Lee,Danielle,danielle.lee@bayer.edu,14
77,Lee,Michelle,michelle.lee@bayer.edu,13
78,Lambert,Malaika,malaika.lambert@bayer.edu,10
79,King,Paige,paige.king@bayer.edu,13
80,Joyce,Traci,traci.joyce@bayer.edu,6
81,Jones,Sarah,sarah.jones@bayer.edu,15
82,Jones,Daniel,daniel.jones@bayer.edu,8
83,Jones,Michele,michele.jones@bayer.edu,6
84,Johnston,Robert,robert.johnston@bayer.edu,12
85,Johnson,Tara,tara.johnson@bayer.edu,6
86,Johnson,Jamie,jamie.johnson@bayer.edu,14
87,Johnson,Dylan,dylan.johnson@bayer.edu,9
88,Johnson,Stacy,stacy.johnson@bayer.edu,14
89,Johnson,Paul,paul.johnson@bayer.edu,14
90,James,Margaret,margaret.james@bayer.edu,11
91,Hunt,Brett,brett.hunt@bayer.edu,11
92,Houston,Emily,emily.houston@bayer.edu,9
93,Holt,Crystal,crystal.holt@bayer.edu,9
94,Hernandez,Taylor,taylor.hernandez@bayer.edu,12
95,Hart,Colleen,colleen.hart@bayer.edu,6
96,Harris,John,john.harris@bayer.edu,14
97,Guzman,Cynthia,cynthia.guzman@bayer.edu,15
98,Greer,April,april.greer@bayer.edu,11
99,Graham,Benjamin,benjamin.graham@bayer.edu,15
100,Gordon,Lori,lori.gordon@bayer.edu,15
101,Good,Sherry,sherry.good@bayer.edu,12
102,Gonzalez,Matthew,matthew.gonzalez@bayer.edu,6
103,Glover,Heidi,heidi.glover@bayer.edu,14
104,Garza,Jessica,jessica.garza@bayer.edu,8
105,Garcia,Desiree,desiree.garcia@bayer.edu,10
106,Friedman,Linda,linda.friedman@bayer.edu,9
107,Foster,Tommy,tommy.foster@bayer.edu,9
108,Foster,Ashlee,ashlee.foster@bayer.edu,12
109,Flower,John,john.g.2.flower@bayer.edu,8
110,Flores,Brandon,brandon.flores@bayer.edu,15
111,Flores,Russell,russell.flores@bayer.edu,8
